Year,Code      Age  Both sexes        Male      Female
1980,01    AL    0       62835       31917       30918
1980,01    AL    1       59468       30144       29324
1980,01    AL    2       58226       29489       28737
1980,01    AL    3       59077       30015       29062
1980,01    AL    4       57378       29108       28270
1980,01    AL    5       59166       30165       29001
1980,01    AL    6       59076       30103       28973
1980,01    AL    7       61957       31650       30307
1980,01    AL    8       62875       32196       30679
1980,01    AL    9       68758       35355       33403
1980,01    AL   10       67564       34505       33059
1980,01    AL   11       64693       33174       31519
1980,01    AL   12       62973       32092       30881
1980,01    AL   13       64724       33133       31591
1980,01    AL   14       67820       34786       33034
1980,01    AL   15       72550       36903       35647
1980,01    AL   16       74694       38255       36439
1980,01    AL   17       75062       38247       36815
1980,01    AL   18       75313       37985       37328
1980,01    AL   19       78602       38823       39779
1980,01    AL   20       75879       37484       38395
1980,01    AL   21       73590       35643       37947
1980,01    AL   22       72343       35475       36868
1980,01    AL   23       71636       35388       36248
1980,01    AL   24       69095       34274       34821
1980,01    AL   25       67682       33308       34374
1980,01    AL   26       65598       32156       33442
1980,01    AL   27       63393       31034       32359
1980,01    AL   28       59438       29101       30337
1980,01    AL   29       61520       30192       31328
1980,01    AL   30       59550       29305       30245
1980,01    AL   31       58778       28926       29852
1980,01    AL   32       58812       28774       30038
1980,01    AL   33       61671       30209       31462
1980,01    AL   34       46397       22696       23701
1980,01    AL   35       47118       22921       24197
1980,01    AL   36       47203       23094       24109
1980,01    AL   37       49906       24240       25666
1980,01    AL   38       42794       20709       22085
1980,01    AL   39       43073       20901       22172
1980,01    AL   40       42141       20464       21677
1980,01    AL   41       40381       19274       21107
1980,01    AL   42       40500       19323       21177
1980,01    AL   43       38827       18403       20424
1980,01    AL   44       39382       18809       20573
1980,01    AL   45       38631       18539       20092
1980,01    AL   46       38212       18275       19937
1980,01    AL   47       38666       18486       20180
1980,01    AL   48       37115       17630       19485
1980,01    AL   49       38889       18458       20431
1980,01    AL   50       39425       18651       20774
1980,01    AL   51       38235       17828       20407
1980,01    AL   52       39757       18662       21095
1980,01    AL   53       39788       18706       21082
1980,01    AL   54       39663       18375       21288
1980,01    AL   55       38837       17809       21028
1980,01    AL   56       37984       17596       20388
1980,01    AL   57       38487       17852       20635
1980,01    AL   58       37806       17556       20250
1980,01    AL   59       37188       17015       20173
1980,01    AL   60       37637       17242       20395
1980,01    AL   61       34985       16011       18974
1980,01    AL   62       31703       14366       17337
1980,01    AL   63       32923       14685       18238
1980,01    AL   64       32476       14543       17933
1980,01    AL   65       33301       14646       18655
1980,01    AL   66       31956       13920       18036
1980,01    AL   67       32312       14033       18279
1980,01    AL   68       29336       12775       16561
1980,01    AL   69       29369       12502       16867
1980,01    AL   70       28043       11943       16100
1980,01    AL   71       25466       10592       14874
1980,01    AL   72       24719       10292       14427
1980,01    AL   73       22661        9072       13589
1980,01    AL   74       21863        8662       13201
1980,01    AL   75       19896        7831       12065
