Year,Age,Population
1990,0,3986488
1990,1,3798100
1990,2,3712522
1990,3,3660016
1990,4,3699321
1990,5,3681034
1990,6,3563046
1990,7,3644060
1990,8,3510580
1990,9,3678026
1990,10,3705149
1990,11,3481891
1990,12,3380156
1990,13,3385614
1990,14,3260077
1990,15,3342528
1990,16,3287140
1990,17,3439746
1990,18,3601602
1990,19,4100577
1990,20,4048841
1990,21,3837554
1990,22,3673009
1990,23,3710050
1990,24,3880932
1990,25,4070277
1990,26,4195828
1990,27,4291240
1990,28,4147932
1990,29,4571770
1990,30,4512156
1990,31,4349962
1990,32,4380288
1990,33,4356406
1990,34,4339961
1990,35,4274502
1990,36,4073655
1990,37,4000923
1990,38,3705195
1990,39,3936020
1990,40,3797499
1990,41,3634572
1990,42,3621350
1990,43,3845180
1990,44,2894341
1990,45,2903748
1990,46,2823381
1990,47,3001087
1990,48,2500970
1990,49,2599830
1990,50,2432676
1990,51,2313332
1990,52,2265849
1990,53,2171043
1990,54,2194862
1990,55,2165677
1990,56,2060426
1990,57,2089003
1990,58,1976880
1990,59,2186173
1990,60,2152047
1990,61,2093993
1990,62,2142533
1990,63,2111084
1990,64,2123825
1990,65,2117112
1990,66,2056694
1990,67,2001182
1990,68,1962424
1990,69,1941511
1990,70,1781932
1990,71,1685631
1990,72,1607446
1990,73,1499695
1990,74,1450359
1990,75,1400854
1990,76,1299731
1990,77,1231604
1990,78,1148910
1990,79,1065897
1990,80,949424
1990,81,864313
1990,82,789319
1990,83,706332
1990,84,627309
1990,85,550555
1990,86,472473
1990,87,401369
1990,88,327733
1990,89,301490
1990,90,233845
1990,91,177807
1990,92,143188
1990,93,116435
1990,94,93022
1990,95,69255
1990,96,50835
1990,97,37965
1990,98,26153
1990,99,20989
1990,100+,36486
1991,0,4003780
1991,1,3953336
1991,2,3806523
1991,3,3722775
1991,4,3721632
1991,5,3707078
1991,6,3686288
1991,7,3583698
1991,8,3537332
1991,9,3766734
1991,10,3712645
1991,11,3678118
1991,12,3504884
1991,13,3432293
1991,14,3428015
1991,15,3311819
1991,16,3380269
1991,17,3370624
1991,18,3403441
1991,19,3804127
1991,20,4065067
1991,21,3964324
1991,22,3745551
1991,23,3656482
1991,24,3803001
1991,25,3878137
1991,26,4080068
1991,27,4262978
1991,28,4127113
1991,29,4574841
1991,30,4526969
1991,31,4446648
1991,32,4402990
1991,33,4395012
1991,34,4529246
1991,35,4336355
1991,36,4206976
1991,37,4127666
1991,38,3807241
1991,39,4099110
1991,40,3837388
1991,41,3711711
1991,42,3633564
1991,43,3589714
1991,44,3979741
1991,45,2841131
1991,46,2829136
1991,47,2854523
1991,48,2874485
1991,49,2729817
1991,50,2538717
1991,51,2349345
1991,52,2309658
1991,53,2285655
1991,54,2207685
1991,55,2139405
1991,56,2193877
1991,57,2065748
1991,58,1959722
1991,59,2084037
1991,60,2133473
1991,61,2103025
1991,62,2082833
1991,63,2148738
1991,64,2135003
1991,65,2069964
1991,66,2067884
1991,67,2028118
1991,68,1913084
1991,69,1959316
1991,70,1888676
1991,71,1728675
1991,72,1646210
1991,73,1525841
1991,74,1466136
1991,75,1409800
1991,76,1338624
1991,77,1246679
1991,78,1200038
1991,79,1086927
1991,80,974484
1991,81,885099
1991,82,803943
1991,83,738123
1991,84,644864
1991,85,545573
1991,86,499551
1991,87,424545
1991,88,357082
1991,89,288388
1991,90,261108
1991,91,199529
1991,92,149367
1991,93,118315
1991,94,94284
1991,95,73249
1991,96,53757
1991,97,38600
1991,98,28166
1991,99,18841
1991,100+,38784
1992,0,3972775
1992,1,3978057
1992,2,3963541
1992,3,3823718
1992,4,3789950
1992,5,3732466
1992,6,3714856
1992,7,3713396
1992,8,3494500
